Neighborhood,Intersection Count,Density (st. mi/area mi^2),Miles of Major Roads,Total Street Miles,Drive Alone (2010),Commute to Work: Carpool/Vanpool (2010),Commute to Work: Public Transportation (2010),Commute to Work: Motorcycle (2010),Commute to Work: Taxi (2010),Commute to Work: Bicycle (2010),Commute to Work: Walk (2010),Commute to Work: Other (2010),Population (2010),Total Working Pop. (Age 16+) (2010),Percent Working Pop.,Work at Home (2010)
Oakwood,,22.6827421124149,1.76845184892822,5.71605101232856,0.784222737819,0.0255220417633,0.122969837587,0.0,0.0,0.0,0.046403712297,0.0,1027,431,41.966893865628,0.0208816705336
Overbrook,6,24.9391618547492,2.66194281941138,20.9239567961346,0.680893300248,0.137965260546,0.154838709677,0.0,0.0,0.0,0.0263027295285,0.0,3644,2015,55.2963776070252,0.0
Perry North,6,22.3670063246578,5.56194589324824,27.1088116654853,0.673638132296,0.141050583658,0.131322957198,0.0,0.0,0.0,0.0369649805447,0.0,4050,2056,50.7654320987654,0.0170233463035
Perry South,4,25.5490063722458,3.4538168913033,23.1218507668824,0.526599326599,0.102356902357,0.327946127946,0.0,0.0,0.0,0.0363636363636,0.0,4145,1485,35.8262967430639,0.00673400673401
Point Breeze,7,21.2448639272233,5.12670369760884,21.3298433829322,0.646207113629,0.0758577274158,0.15801070192,0.0,0.0,0.0116462071136,0.0390305319484,0.0113314447592,5315,3177,59.7742238946378,0.0579162732137
Point Breeze North,12,23.5613290035441,1.62818949537362,6.7385400950136,0.399380804954,0.163054695562,0.357069143447,0.0,0.0,0.0,0.015479876161,0.0123839009288,2054,969,47.1762414800389,0.0526315789474
Polish Hill,2,31.4367585719396,1.4643565123329,8.01637343584458,0.729641693811,0.0966340933768,0.112920738328,0.0,0.0,0.0,0.0119435396308,0.0,1274,921,72.2919937205651,0.0488599348534
Regent Square,1,23.4663023077498,0.460529950079508,4.50553004308796,0.605863192182,0.0928338762215,0.234527687296,0.0,0.0,0.0,0.0309446254072,0.0,928,614,66.1637931034483,0.0358306188925
Ridgemont,,18.3564624763069,3.30596089143826,6.77353465375723,0.804347826087,0.0471014492754,0.0,0.0,0.0,0.0,0.148550724638,0.0,483,276,57.1428571428571,0.0
Shadyside,35,29.5741359687491,4.29149585786583,27.2377792272179,0.448498115043,0.073330901131,0.268636750578,0.00352669342089,0.0,0.0117961814423,0.172807977624,0.00449957436459,13915,8223,59.0945023356091,0.0169038063967
Sheraden,3,34.9603366953219,1.83835631353973,31.1146996588365,0.536915504512,0.207957342084,0.209187858901,0.0,0.0,0.0,0.0168170631665,0.0233798195242,5299,2438,46.0086808831855,0.00574241181296
South Oakland,12,37.8257004319736,8.06648365461481,19.2154558194426,0.46554770318,0.0282685512367,0.139575971731,0.0,0.00706713780919,0.0,0.302120141343,0.00971731448763,2969,1132,38.1273155944763,0.047703180212
South Shore,10,37.661628970485,3.63507368539898,7.98426534174282,0.763157894737,0.0,0.236842105263,0.0,0.0,0.0,0.0,0.0,19,38,200,0.0
South Side Flats,30,27.7131471132494,4.09368894507284,25.9395056980014,0.530268022181,0.0804066543438,0.156423290203,0.00323475046211,0.0,0.0138632162662,0.193160813309,0.0025415896488,6597,4328,65.6055782931636,0.020101663586
South Side Slopes,2,31.0658132210048,2.53390832421508,22.2431222662394,0.629156999227,0.135344160866,0.113302397525,0.0,0.0,0.0,0.0986078886311,0.00232018561485,4423,2586,58.4671037757178,0.0212683681361
Spring Garden,,23.8159308082988,1.9276134405111,6.54938097228218,0.413793103448,0.30407523511,0.0673981191223,0.0,0.0,0.051724137931,0.12539184953,0.0,884,638,72.1719457013575,0.0376175548589
